Release Year,John Siracusa's Rating on Letterboxd,
2019,3.5,2.9
2019,3,
2019,3,
2019,3,
2019,2,
2018,2.5,
2018,3.5,
2018,2.5,
2018,3,
2019,3,
2018,2.5,2.85294117647059
2018,3,
2018,2.5,
2018,2.5,
2018,3,
2018,3,
2018,2.5,
2018,3.5,
2018,3,
2018,2,
2018,2.5,
2018,3,
2018,3,
2018,4,
2018,3,
2018,2.5,
2018,3,
2018,0.5,
2018,3.5,
2018,2.5,
2018,3.5,
2018,2.5,
2018,2,
2018,2.5,
2018,3.5,
2018,3,
2018,2.5,
2018,3,
2018,3,
2018,2.5,
2018,3.5,
2018,2.5,
2018,2.5,
2018,2.5,
2018,3,
2017,3,2.82432432432432
2017,2.5,
2017,3.5,
2017,3,
2017,3.5,
2017,2.5,
2017,2.5,
2017,1.5,
2017,3.5,
2017,3,
2017,3.5,
2017,3,
2017,2.5,
2017,2,
2017,3.5,
2017,3,
2017,2,
2017,3,
2017,2.5,
2017,2.5,
2017,3.5,
2017,3,
2017,3.5,
2017,2.5,
2017,3,
2017,3,
2017,2.5,
2017,3,
2017,3,
2017,3,
2016,2.5,
2016,3.5,
2016,3,
2016,4,
2016,3,
2017,2.5,
2016,3,2.9375
2016,3.5,
2016,3,
2016,3,
2016,3.5,
2016,3,
2016,3.5,
2016,3.5,
2016,2.5,
2016,3.5,
2016,2.5,
2016,3.5,
2016,3.5,
2016,2.5,
2016,3,
2015,4,2.81578947368421
2015,2.5,
2015,3,
2015,2,
2015,2.5,
2015,3,
2015,2.5,
2015,3,
2015,2.5,
2015,2.5,
2015,3,
2015,4,
2015,4.5,
2015,3,
2015,2,
2015,2.5,
2015,3.5,
2015,3.5,
2014,2.5,2.72222222222222
2014,2,
2014,3,
2014,3.5,
2014,3,
2014,2.5,
2014,2.5,
2014,2.5,
2014,3.5,
2014,1,
2014,3,
2014,3,
2014,4,
2014,2.5,
2014,3.5,
2014,3.5,
2014,3.5,
2013,3,2.77777777777778
2013,3,
2013,3,
2013,2.5,
2013,3.5,
2013,2.5,
2013,3.5,
2013,3,
2013,1.5,
2013,3.5,
2013,3,
2013,2.5,
2013,4,
2013,3,
2013,2.5,
2013,2.5,
2013,1.5,
2013,2.5,
2013,4,
2013,2.5,
2013,4,
2013,3.5,
2013,2.5,
2013,2.5,
2013,2.5,
2013,3,
2012,3,2.96
2012,2.5,
2012,3,
2012,3,
2012,3.5,
2012,3.5,
2012,3.5,
2012,3.5,
2012,3,
2012,2.5,
2012,3,
2012,2.5,
